IMPACTADOS,Total_Impactados,CH,Total_CH
2023,70.0,2024,410.5
1T23,0.0,1T23,27.0
Janeiro,0.0,Janeiro,0.0
2024-01-01,0.0,2024-01-01,0.0
2024-01-08,0.0,2024-01-08,0.0
2024-01-15,0.0,2024-01-15,0.0
2024-01-22,0.0,2024-01-22,0.0
2024-01-29,0.0,2024-01-29,0.0
Fevereiro,0.0,Fevereiro,27.0
2024-02-05,0.0,2024-02-05,0.0
2024-02-12,0.0,2024-02-12,0.0
2024-02-19,0.0,2024-02-19,0.0
2024-02-26,0.0,2024-02-26,27.0
Março,0.0,Março,0.0
2024-03-04,0.0,2024-03-04,0.0
2024-03-11,0.0,2024-03-11,0.0
2024-03-18,0.0,2024-03-18,0.0
2024-03-25,0.0,2024-03-25,0.0
2T23,65.0,2T23,187.5
Abril,0.0,Abril,0.0
2024-04-01,0.0,2024-04-01,0.0
2024-04-08,0.0,2024-04-08,0.0
2024-04-15,0.0,2024-04-15,0.0
2024-04-22,0.0,2024-04-22,0.0
2024-04-29,0.0,2024-04-29,0.0
Maio,65.0,Maio,187.5
2024-05-06,0.0,2024-05-06,0.0
2024-05-13,54.0,2024-05-13,108.0
2024-05-20,11.0,2024-05-20,79.5
2024-05-27,0.0,2024-05-27,0.0
Junho,0.0,Junho,0.0
2024-06-03,0.0,2024-06-03,0.0
2024-06-10,0.0,2024-06-10,0.0
2024-06-17,0.0,2024-06-17,0.0
2024-06-24,0.0,2024-06-24,0.0
3T23,5.0,3T23,171.0
Julho,0.0,Julho,0.0
2024-07-01,0.0,2024-07-01,0.0
2024-07-08,0.0,2024-07-08,0.0
2024-07-15,0.0,2024-07-15,0.0
2024-07-22,0.0,2024-07-22,0.0
2024-07-29,0.0,2024-07-29,0.0
Agosto,0.0,Agosto,0.0
2024-08-05,0.0,2024-08-05,0.0
2024-08-12,0.0,2024-08-12,0.0
2024-08-19,0.0,2024-08-19,0.0
2024-08-26,0.0,2024-08-26,0.0
Setembro,5.0,Setembro,171.0
2024-09-02,0.0,2024-09-02,0.0
2024-09-09,5.0,2024-09-09,171.0
2024-09-16,0.0,2024-09-16,0.0
2024-09-23,0.0,2024-09-23,0.0
2024-09-30,0.0,2024-09-30,0.0
4T23,0.0,4T23,25.0
Outubro,0.0,Outubro,0.0
2024-10-07,0.0,2024-10-07,0.0
2024-10-14,0.0,2024-10-14,0.0
2024-10-21,0.0,2024-10-21,0.0
2024-10-28,0.0,2024-10-28,0.0
Novembro,0.0,Novembro,25.0
2024-11-04,0.0,2024-11-04,25.0
2024-11-11,0.0,2024-11-11,0.0
2024-11-18,0.0,2024-11-18,0.0
2024-11-25,0.0,2024-11-25,0.0
Dezembro,0.0,Dezembro,0.0
2024-12-02,0.0,2024-12-02,0.0
2024-12-09,0.0,2024-12-09,0.0
2024-12-16,0.0,2024-12-16,0.0
2024-12-23,0.0,2024-12-23,0.0
2024-12-30,0.0,2024-12-30,0.0
